,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Iowa
8,Kentucky
9,Louisiana
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,New Hampshire
17,New Jersey
18,New Mexico
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Vermont
29,West Virginia
30,Wisconsin
31,Wyoming
